track_name,album,year,valence,energy,danceability
peace,folklore,2020,0.339,0.272,0.647
seven,folklore,2020,0.415,0.488,0.596
the 1,folklore,2020,0.172,0.357,0.777
the last great american dynasty,folklore,2020,0.706,0.662,0.686
this is me trying,folklore,2020,0.412,0.476,0.515
august,folklore (deluxe version),2020,0.42,0.634,0.387
betty,folklore (deluxe version),2020,0.476,0.376,0.595
cardigan,folklore (deluxe version),2020,0.534,0.58,0.612
epiphany,folklore (deluxe version),2020,0.103,0.254,0.317
exile (feat. Bon Iver),folklore (deluxe version),2020,0.16,0.374,0.31
hoax,folklore (deluxe version),2020,0.404,0.178,0.676
illicit affairs,folklore (deluxe version),2020,0.44,0.304,0.529
invisible string,folklore (deluxe version),2020,0.454,0.459,0.651
mad woman,folklore (deluxe version),2020,0.451,0.7,0.593
mirrorball,folklore (deluxe version),2020,0.347,0.417,0.549
my tears ricochet,folklore (deluxe version),2020,0.112,0.265,0.456
peace,folklore (deluxe version),2020,0.328,0.284,0.644
seven,folklore (deluxe version),2020,0.374,0.494,0.602
the 1,folklore (deluxe version),2020,0.163,0.361,0.78
the lakes - bonus track,folklore (deluxe version),2020,0.268,0.258,0.313
the last great american dynasty,folklore (deluxe version),2020,0.701,0.653,0.688
this is me trying,folklore (deluxe version),2020,0.408,0.478,0.511
august,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.42,0.634,0.387
august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.545,0.663,0.554
betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.476,0.376,0.595
betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.518,0.316,0.538
cardigan,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.534,0.58,0.612
cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.247,0.234,0.395
epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.103,0.254,0.317
epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.113,0.2,0.524
exile (feat. Bon Iver),folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.16,0.374,0.31
exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.108,0.305,0.359
hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.404,0.178,0.676
hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.483,0.155,0.682
illicit affairs,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.44,0.304,0.529
illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.435,0.235,0.489
invisible string,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.454,0.459,0.651
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.351,0.282,0.59
mad woman,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.451,0.7,0.593
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.346,0.465,0.663
mirrorball,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.347,0.417,0.549
mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.109,0.386,0.509
my tears ricochet,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.112,0.265,0.456
my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.168,0.172,0.531
peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.328,0.284,0.644
peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.513,0.344,0.619
seven,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.374,0.494,0.602
seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.363,0.449,0.694
the 1,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.163,0.361,0.78
the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.156,0.25,0.708
the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.268,0.258,0.313
the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.112,0.221,0.606
the last great american dynasty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.701,0.653,0.688
the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.614,0.618,0.64
this is me trying,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.408,0.478,0.511
this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020,0.157,0.332,0.435
Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),2021,0.321,0.626,0.506
Bye Bye Baby (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.527,0.624,0.624
Change (Taylor’s Version),Fearless (Taylor's Version),2021,0.344,0.815,0.499
Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),2021,0.167,0.564,0.476
Don’t You (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.405,0.473,0.563
Fearless (Taylor’s Version),Fearless (Taylor's Version),2021,0.43,0.741,0.569
Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021,0.289,0.646,0.559
Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),2021,0.271,0.273,0.546
Forever & Always (Taylor’s Version),Fearless (Taylor's Version),2021,0.673,0.821,0.598
Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021,0.797,0.571,0.788
Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),2021,0.624,0.69,0.572
Love Story (Taylor’s Version),Fearless (Taylor's Version),2021,0.415,0.792,0.627
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.714,0.817,0.66
Superstar (Taylor’s Version),Fearless (Taylor's Version),2021,0.171,0.555,0.454
Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),2021,0.541,0.909,0.578
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.508,0.608,0.588
The Best Day (Taylor’s Version),Fearless (Taylor's Version),2021,0.469,0.576,0.642
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),2021,0.629,0.873,0.432
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021,0.472,0.732,0.402
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021,0.328,0.779,0.482
Untouchable (Taylor’s Version),Fearless (Taylor's Version),2021,0.224,0.531,0.393
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.13,0.373,0.609
White Horse (Taylor’s Version),Fearless (Taylor's Version),2021,0.366,0.517,0.423
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,0.44,0.494,0.599
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021,0.474,0.773,0.632
You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),2021,0.241,0.444,0.506
22 (Taylor's Version),Red (Taylor's Version),2021,0.642,0.695,0.642
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.205,0.518,0.631
All Too Well (Taylor's Version),Red (Taylor's Version),2021,0.132,0.528,0.44
Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.746,0.743,0.584
Begin Again (Taylor's Version),Red (Taylor's Version),2021,0.267,0.527,0.519
Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,0.255,0.579,0.473
Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021,0.399,0.632,0.46
